"year","date","block","plot","management_trt","herbivory_trt","bison_pasture","time","light_transmission"
2024,"8/19/2024",21,63,"control","SB","yes","",NA
2023,"7/18/2023",6,17,"fire","SX","yes","",0.0546642899584076
2023,"7/18/2023",6,16,"fire","XX","yes","",0.0389461626575029
2023,"7/18/2023",6,18,"fire","SB","yes","",0.0464535464535465
2023,"7/18/2023",1,3,"fire","SB","yes","",0.310029644268775
2023,"7/18/2023",1,2,"fire","SX","yes","13:53",0.172489082969432
2023,"7/18/2023",1,1,"fire","XX","yes","14:28",0.0489296636085627
2023,"7/18/2023",20,60,"control","SB","yes","10:00",0.0354420731707317
2023,"7/18/2023",20,59,"control","SX","yes","10:15",0.0038515406162465
2023,"7/18/2023",20,58,"control","XX","yes","",0.0563291139240506
2023,"7/18/2023",19,57,"control","SB","yes","11:39",0.0202164009111617
2023,"7/18/2023",19,56,"control","SX","yes","11:47",0.0140320733104238
2023,"7/18/2023",19,55,"control","XX","yes","",0.0751651982378855
2023,"7/18/2023",7,21,"mow","SB","yes","14:05",0.0496941896024465
2023,"7/18/2023",7,20,"mow","SX","yes","14:35",0.0338452787258248
2023,"7/18/2023",7,19,"mow","XX","yes","15:06",0.0127450980392157
2023,"7/18/2023",22,66,"control","SB","yes","9:32",0.147506082725061
2023,"7/18/2023",22,65,"control","SX","yes","10:00",0.0165710643722116
2023,"7/18/2023",22,64,"control","XX","yes","10:26",0.0287792536369386
2023,"7/18/2023",23,69,"control","SB","yes","11:13",0.0855018587360595
2023,"7/18/2023",23,68,"control","SX","yes","11:35",NA
2023,"7/18/2023",23,67,"control","XX","yes","11:59",0.0145502645502645
2023,"7/18/2023",21,63,"control","SB","yes","",NA
2023,"7/18/2023",21,62,"control","SX","yes","",NA
2023,"7/18/2023",21,61,"control","XX","yes","",NA
2023,"7/18/2023",24,72,"control","SB","yes","",NA
2023,"7/18/2023",24,71,"control","SX","yes","",NA
2023,"7/18/2023",24,70,"control","XX","yes","",NA
2023,"7/18/2023",3,9,"fire","SB","yes","12:45",0.0983397190293742
2023,"7/18/2023",3,8,"fire","SX","yes","13:19",0.143232902917264
2023,"7/18/2023",3,7,"fire","XX","yes","",0.310029644268775
2023,"7/18/2023",4,12,"fire","SB","yes","14:50",0.028816199376947
2023,"7/18/2023",4,11,"fire","SX","yes","16:01",0.0733379026730637
2023,"7/18/2023",4,10,"fire","XX","yes","16:22",0.0956862745098039
2023,"7/18/2023",5,15,"fire","SB","yes","",NA
2023,"7/18/2023",5,14,"fire","SX","yes","",NA
2023,"7/18/2023",5,13,"fire","XX","yes","",NA
2023,"7/18/2023",2,6,"fire","SB","yes","10:58",0.032367447595561
2023,"7/18/2023",2,5,"fire","SX","yes","",NA
2023,"7/18/2023",2,4,"fire","XX","yes","11:32",0.0277466367713004
2023,"7/18/2023",12,36,"mow","SB","yes","12:19",0.149261334691798
2023,"7/18/2023",12,36,"mow","SB","yes","12:19",0.195463642428286
2023,"7/18/2023",12,35,"mow","SX","yes","12:36",0.0626572722697534
2023,"7/18/2023",12,35,"mow","SX","yes","12:36",0.0886752136752137
2023,"7/18/2023",12,34,"mow","XX","yes","13:07",0.178385416666667
2023,"7/18/2023",12,34,"mow","XX","yes","13:07",0.254080118694362
2023,"7/18/2023",8,24,"mow","SB","yes","14:39",0.359624145785877
2023,"7/18/2023",8,23,"mow","SX","yes","14:47",0.132991556091677
2023,"7/18/2023",8,22,"mow","XX","yes","",0.0508739076154806
2023,"7/18/2023",9,27,"mow","SB","yes","",NA
2023,"7/18/2023",9,26,"mow","SX","yes","",NA
2023,"7/18/2023",9,25,"mow","XX","yes","",NA
2023,"7/18/2023",13,39,"herbicide","SB","yes","",NA
2023,"7/18/2023",13,38,"herbicide","SX","yes","9:34",0.0883757961783439
2023,"7/18/2023",13,37,"herbicide","XX","yes","10:21",0.101181683899557
2023,"7/18/2023",14,41,"herbicide","SX","yes","11:08",0.440955631399317
2023,"7/18/2023",14,40,"herbicide","XX","yes","11:48",0.080327868852459
2023,"7/18/2023",14,42,"herbicide","SB","yes","12:30",0.157407407407407
2023,"7/18/2023",15,45,"herbicide","SB","yes","13:38",0.29803328290469
2023,"7/18/2023",15,44,"herbicide","SX","yes","13:51",0.222627737226277
2023,"7/18/2023",15,43,"herbicide","XX","yes","14:27",0.14161154539988
2023,"7/18/2023",16,48,"herbicide","SB","yes","",NA
2023,"7/18/2023",16,47,"herbicide","SX","yes","",NA
2023,"7/18/2023",16,46,"herbicide","XX","yes","",NA
2023,"7/18/2023",17,51,"herbicide","SB","yes","",NA
2023,"7/18/2023",17,50,"herbicide","SX","yes","",NA
2023,"7/18/2023",17,49,"herbicide","XX","yes","",NA
2023,"7/18/2023",18,54,"herbicide","SB","yes","10:35",0.168817204301075
2023,"7/18/2023",18,53,"herbicide","SX","yes","11:01",0.15255530129672
2023,"7/18/2023",18,52,"herbicide","XX","yes","11:18",0.037037037037037
2023,"7/18/2023",10,30,"mow","SB","yes","12:49",0.115906288532676
2023,"7/18/2023",10,29,"mow","SX","yes","13:01",0.201450189155107
2023,"7/18/2023",10,28,"mow","XX","yes","13:31",0.211586901763224
2023,"7/18/2023",12,36,"mow","SB","yes","14:36",0.149261334691798
2023,"7/18/2023",12,36,"mow","SB","yes","14:36",0.195463642428286
2023,"7/18/2023",12,35,"mow","SX","yes","14:58",0.0626572722697534
2023,"7/18/2023",12,35,"mow","SX","yes","14:58",0.0886752136752137
2023,"7/18/2023",12,34,"mow","XX","yes","15:21",0.178385416666667
2023,"7/18/2023",12,34,"mow","XX","yes","15:21",0.254080118694362
2022,"6/13/2022",NA,73,"fire","","no","0:00",0.0809302325581395
2022,"6/13/2022",NA,74,"fire","","no","0:00",0.191131498470948
2022,"6/13/2022",NA,75,"fire","","no","0:00",0.120871862615588
2022,"6/14/2022",NA,76,"fire","","no","",0.295892968263846
2022,"6/13/2022",24,72,"control","SB","yes","0:00",0.112698412698413
2022,"6/13/2022",23,69,"control","SB","yes","0:00",0.0901920438957476
2022,"6/13/2022",22,66,"control","SB","yes","0:00",0.308521830615466
2022,"6/13/2022",21,63,"control","SB","yes","0:00",0.139644351464435
2022,"6/14/2022",20,60,"control","SB","yes","",NA
2022,"6/15/2022",3,9,"fire","SB","yes","0:00",0.0244055068836045
2022,"6/15/2022",2,6,"fire","SB","yes","0:00",0.0271428571428571
2022,"6/15/2022",1,3,"fire","SB","yes","0:00",0.116259711431743
2022,"6/15/2022",8,22,"mow","SB","yes","0:00",0.0946488294314381
2022,"6/15/2022",NA,85,"control","","no","0:00",0.0407932011331445
2022,"6/15/2022",NA,87,"control","","no","0:00",0.221556886227545
2021,"7/21/2021",9,27,"mow","SB","yes","0:00",0.0286034772854739
2021,"7/21/2021",9,27,"mow","SB","yes","0:00",0.0304477611940299
2021,"7/21/2021",8,24,"mow","SB","yes","0:00",0.0337078651685393
2021,"7/21/2021",8,24,"mow","SB","yes","0:00",0.0337837837837838
2021,"7/22/2021",22,66,"control","SB","yes","0:00",0.0153775883069428
2021,"7/22/2021",22,66,"control","SB","yes","0:00",0.0150208209399167
2021,"7/22/2021",21,63,"control","SB","yes","0:00",0.0297691373025516
2021,"7/22/2021",21,63,"control","SB","yes","0:00",0.0291666666666667
2021,"7/22/2021",14,42,"herbicide","SB","yes","",NA
2021,"7/22/2021",14,42,"herbicide","SB","yes","",NA
2021,"7/22/2021",15,45,"herbicide","SB","yes","",NA
2021,"7/22/2021",15,45,"herbicide","SB","yes","",NA
2021,"7/19/2021",NA,76,"fire","","no","0:00",0.0373563218390805
2021,"7/19/2021",NA,75,"fire","","no","0:00",0.0459183673469388
2021,"7/19/2021",NA,74,"fire","","no","0:00",0.0244147157190635
2021,"7/19/2021",NA,73,"fire","","no","0:00",0.0798952193844139
2021,"7/19/2021",NA,80,"mow","","no","0:00",0.0226547543075941
2021,"7/19/2021",NA,79,"mow","","no","0:00",0.152586206896552
2021,"7/19/2021",NA,83,"herbicide","","no","0:00",0.0922798552472859
2021,"7/19/2021",NA,77,"mow","","no","",NA
2021,"7/19/2021",NA,78,"mow","","no","",NA
2021,"7/20/2021",6,18,"fire","SB","yes","0:00",0.0832266325224072
2021,"7/20/2021",6,18,"fire","SB","yes","0:00",0.0831733845169546
2021,"7/20/2021",6,18,"fire","SB","yes","0:00",0.0832266325224072
2021,"7/20/2021",6,18,"fire","SB","yes","0:00",0.0831733845169546
2021,"7/20/2021",5,15,"fire","SB","yes","0:00",0.0188739603326935
2021,"7/20/2021",5,15,"fire","SB","yes","0:00",0.0186002522068096
2021,"7/20/2021",5,15,"fire","SB","yes","0:00",0.0188739603326935
2021,"7/20/2021",5,15,"fire","SB","yes","0:00",0.0186002522068096
2021,"7/20/2021",4,12,"fire","SB","yes","0:00",0.0104938271604938
2021,"7/20/2021",4,12,"fire","SB","yes","0:00",0.0105371900826446
2021,"7/20/2021",4,12,"fire","SB","yes","0:00",0.0104938271604938
2021,"7/20/2021",4,12,"fire","SB","yes","0:00",0.0105371900826446
2021,"7/20/2021",12,36,"mow","SB","yes","0:00",0.0467660114140774
2021,"7/20/2021",12,36,"mow","SB","yes","0:00",0.0478274967574578
2021,"7/20/2021",12,36,"mow","SB","yes","0:00",0.0467660114140774
2021,"7/20/2021",12,36,"mow","SB","yes","0:00",0.0478274967574578
2021,"7/20/2021",18,54,"herbicide","SB","yes","0:00",0.0604490500863558
2021,"7/20/2021",18,54,"herbicide","SB","yes","0:00",0.0655430711610487
2021,"7/20/2021",18,54,"herbicide","SB","yes","0:00",0.0604490500863558
2021,"7/20/2021",18,54,"herbicide","SB","yes","0:00",0.0655430711610487
2021,"7/20/2021",13,39,"herbicide","SB","yes","",NA
2021,"7/20/2021",13,39,"herbicide","SB","yes","",NA
2021,"7/20/2021",13,39,"herbicide","SB","yes","",NA
2021,"7/20/2021",13,39,"herbicide","SB","yes","",NA
2021,"7/20/2021",19,57,"control","SB","yes","",NA
2021,"7/20/2021",19,57,"control","SB","yes","",NA
2021,"7/20/2021",19,57,"control","SB","yes","",NA
2021,"7/20/2021",19,57,"control","SB","yes","",NA
2021,"7/20/2021",20,60,"control","SB","yes","",NA
2021,"7/20/2021",20,60,"control","SB","yes","",NA
2021,"7/20/2021",20,60,"control","SB","yes","",NA
2021,"7/20/2021",20,60,"control","SB","yes","",NA
2021,"7/20/2021",14,42,"herbicide","SB","yes","",NA
2021,"7/20/2021",14,42,"herbicide","SB","yes","",NA
2021,"7/20/2021",15,45,"herbicide","SB","yes","",NA
2021,"7/20/2021",15,45,"herbicide","SB","yes","",NA
2021,"7/20/2021",24,72,"control","SB","yes","",NA
2021,"7/20/2021",24,72,"control","SB","yes","",NA
2021,"7/20/2021",24,72,"control","SB","yes","",NA
2021,"7/20/2021",24,72,"control","SB","yes","",NA
2021,"7/20/2021",23,69,"control","SB","yes","",NA
2021,"7/20/2021",23,69,"control","SB","yes","",NA
2021,"7/20/2021",23,69,"control","SB","yes","",NA
2021,"7/20/2021",23,69,"control","SB","yes","",NA
2021,"7/20/2021",22,66,"control","SB","yes","0:00",0.0153775883069428
2021,"7/20/2021",22,66,"control","SB","yes","0:00",0.0150208209399167
2021,"7/22/2021",21,63,"control","SB","yes","0:00",0.0297691373025516
2021,"7/22/2021",21,63,"control","SB","yes","0:00",0.0291666666666667
2021,"7/22/2021",9,27,"mow","SB","yes","0:00",0.0286034772854739
2021,"7/22/2021",9,27,"mow","SB","yes","0:00",0.0304477611940299
2021,"7/22/2021",8,24,"mow","SB","yes","",0.0337078651685393
2021,"7/22/2021",8,24,"mow","SB","yes","",0.0337837837837838
